NUM_ART;month_of_year;year_of_calendar;QTE_VTE
36633331;7;2019;3.0
36633331;8;2019;0.0
36633331;9;2019;1.0
36633331;11;2019;3.0
36633331;12;2019;0.0
60191215;1;2018;1.0
60191215;1;2020;1.0
60191215;2;2018;3.0
60191215;3;2017;3.0
60191215;3;2018;1.0
60191215;4;2017;2.0
60191215;4;2018;4.0
60191215;4;2019;1.0
60191215;5;2017;2.0
60191215;5;2018;0.0
60191215;5;2019;1.0
60191215;6;2017;1.0
60191215;6;2018;3.0
60191215;7;2017;1.0
60191215;7;2018;1.0
60191215;7;2019;3.0
60191215;8;2016;2.0
60191215;8;2017;0.0
60191215;8;2018;1.0
60191215;9;2016;1.0
60191215;9;2018;1.0
60191215;9;2019;4.0
60191215;10;2016;1.0
60191215;10;2017;3.0
60191215;10;2018;2.0
60191215;11;2016;0.0
60191215;11;2017;1.0
60191215;11;2018;1.0
60191215;12;2016;0.0
60191215;12;2017;0.0
60191215;12;2018;2.0
60191215;12;2019;0.0
60191530;1;2017;1.0
60191530;1;2019;3.0
60191530;1;2020;1.0
60191530;2;2017;2.0
60191530;2;2018;2.0
60191530;2;2019;1.0
60191530;3;2018;1.0
60191530;4;2017;1.0
60191530;4;2018;1.0
60191530;4;2019;1.0
60191530;5;2017;0.0
60191530;5;2019;0.0
60191530;6;2017;1.0
60191530;6;2018;1.0
60191530;7;2017;2.0
60191530;7;2018;2.0
60191530;8;2016;0.0
60191530;8;2017;-1.0
60191530;8;2019;1.0
60191530;9;2016;1.0
60191530;9;2017;2.0
60191530;9;2018;1.0
60191530;9;2019;1.0
60191530;10;2016;-1.0
60191530;10;2017;1.0
60191530;10;2019;0.0
60191530;11;2016;1.0
60191530;11;2017;1.0
60191530;12;2016;-1.0
60191530;12;2017;1.0
60191530;12;2019;2.0
60388524;1;2017;2.0
60388524;1;2018;3.0
60388524;1;2019;3.0
60388524;2;2017;1.0
60388524;2;2018;1.0
60388524;2;2019;2.0
60388524;3;2017;9.0
60388524;3;2018;2.0
60388524;3;2019;3.0
60388524;4;2017;2.0
60388524;4;2018;8.0
60388524;4;2019;2.0
60388524;5;2017;1.0
60388524;5;2018;0.0
60388524;5;2019;2.0
60388524;6;2017;1.0
60388524;6;2018;1.0
60388524;6;2019;1.0
60388524;7;2017;6.0
60388524;7;2018;4.0
60388524;7;2019;3.0
60388524;8;2016;3.0
60388524;8;2017;-1.0
60388524;8;2018;2.0
60388524;8;2019;3.0
60388524;9;2016;4.0
60388524;9;2017;1.0
60388524;9;2018;1.0
60388524;9;2019;7.0
60388524;10;2016;1.0
60388524;10;2017;3.0
60388524;10;2018;0.0
60388524;10;2019;1.0
60388524;11;2016;3.0
60388524;11;2017;1.0
60388524;11;2018;1.0
60388524;11;2019;1.0
60388524;12;2016;1.0
60388524;12;2017;-1.0
60388524;12;2018;1.0
60388524;12;2019;2.0
60388552;1;2018;2.0
60388552;1;2019;1.0
60388552;2;2017;3.0
60388552;2;2018;2.0
60388552;2;2019;2.0
60388552;3;2017;0.0
60388552;3;2018;1.0
60388552;3;2019;1.0
60388552;4;2017;1.0
60388552;4;2018;1.0
60388552;4;2019;0.0
60388552;5;2017;3.0
60388552;5;2018;2.0
60388552;5;2019;1.0
60388552;6;2017;3.0
60388552;6;2018;2.0
60388552;6;2019;3.0
60388552;7;2016;1.0
60388552;7;2017;-1.0
60388552;7;2019;6.0
60388552;8;2016;4.0
60388552;8;2017;0.0
60388552;8;2018;1.0
60388552;9;2016;2.0
60388552;9;2018;2.0
60388552;9;2019;-1.0
60388552;10;2016;4.0
60388552;10;2017;3.0
60388552;10;2018;1.0
60388552;10;2019;1.0
60388552;11;2016;0.0
60388552;11;2017;1.0
60388552;11;2018;0.0
60388552;11;2019;1.0
60388552;12;2016;1.0
60388552;12;2017;1.0
60388552;12;2019;2.0
60388573;1;2017;4.0
60388573;1;2019;2.0
60388573;1;2020;0.0
60388573;2;2017;-1.0
60388573;2;2018;5.0
60388573;2;2019;1.0
60388573;3;2017;3.0
60388573;3;2018;1.0
60388573;3;2019;4.0
60388573;4;2017;1.0
60388573;4;2018;6.0
60388573;4;2019;1.0
60388573;5;2017;1.0
60388573;5;2018;2.0
60388573;5;2019;-1.0
60388573;6;2017;1.0
60388573;6;2019;3.0
60388573;7;2016;2.0
60388573;7;2017;2.0
60388573;7;2018;2.0
60388573;7;2019;4.0
60388573;8;2016;4.0
60388573;8;2017;0.0
60388573;8;2018;1.0
60388573;8;2019;3.0
60388573;9;2016;2.0
60388573;9;2018;2.0
60388573;9;2019;3.0
60388573;10;2017;4.0
60388573;10;2019;2.0
60388573;11;2016;4.0
60388573;11;2017;0.0
60388573;11;2018;1.0
60388573;11;2019;0.0
60388573;12;2016;-1.0
60388573;12;2017;1.0
60388573;12;2018;1.0
60388573;12;2019;3.0
60388580;1;2018;1.0
60388580;1;2019;1.0
60388580;2;2017;2.0
60388580;2;2019;1.0
60388580;3;2017;-1.0
60388580;3;2019;0.0
60388580;4;2018;5.0
60388580;4;2019;0.0
60388580;5;2017;2.0
60388580;5;2018;1.0
60388580;6;2017;1.0
60388580;6;2018;2.0
60388580;6;2019;1.0
60388580;7;2017;1.0
60388580;7;2019;2.0
60388580;8;2017;0.0
60388580;8;2018;1.0
60388580;9;2016;1.0
60388580;10;2016;3.0
60388580;10;2018;1.0
60388580;10;2019;2.0
60388580;11;2016;2.0
60388580;11;2017;2.0
60388580;11;2018;1.0
60388580;11;2019;1.0
60388580;12;2016;2.0
60388580;12;2017;1.0
60388580;12;2019;2.0
60417196;1;2017;2.0
60417196;1;2018;8.0
60417196;2;2017;1.0
60417196;2;2018;2.0
60417196;4;2018;2.0
60417196;5;2017;1.0
60417196;5;2018;1.0
60417196;6;2017;3.0
60417196;6;2018;3.0
60417196;7;2016;1.0
60417196;7;2017;2.0
60417196;8;2016;1.0
60417196;8;2017;4.0
60417196;9;2016;2.0
60417196;9;2017;3.0
60417196;10;2016;2.0
60417196;10;2017;2.0
60417196;11;2016;2.0
60417196;11;2017;4.0
60417196;12;2016;0.0
60454576;1;2017;4.0
60454576;1;2018;2.0
60454576;1;2019;1.0
60454576;2;2017;2.0
60454576;2;2018;1.0
60454576;2;2019;1.0
60454576;3;2017;3.0
60454576;3;2018;4.0
60454576;3;2019;3.0
60454576;4;2017;4.0
60454576;4;2018;1.0
60454576;4;2019;1.0
60454576;5;2017;3.0
60454576;5;2018;2.0
60454576;5;2019;2.0
60454576;6;2017;3.0
60454576;7;2016;0.0
60454576;7;2017;4.0
60454576;7;2018;1.0
60454576;7;2019;7.0
60454576;8;2017;2.0
60454576;8;2019;4.0
60454576;9;2016;3.0
60454576;9;2017;1.0
60454576;9;2018;4.0
60454576;9;2019;4.0
60454576;10;2016;3.0
60454576;10;2017;3.0
60454576;10;2018;2.0
60454576;10;2019;4.0
60454576;11;2016;2.0
60454576;11;2018;0.0
60454576;11;2019;1.0
60454576;12;2016;0.0
60454576;12;2017;1.0
60454576;12;2018;1.0
60454590;1;2017;6.0
60454590;1;2018;4.0
60454590;1;2019;0.0
60454590;1;2020;1.0
60454590;2;2017;3.0
60454590;2;2018;4.0
60454590;2;2019;6.0
60454590;3;2017;3.0
60454590;3;2018;6.0
60454590;3;2019;6.0
60454590;4;2017;5.0
60454590;4;2018;4.0
60454590;4;2019;3.0
60454590;5;2017;0.0
60454590;5;2018;6.0
60454590;5;2019;6.0
60454590;6;2017;1.0
60454590;6;2018;5.0
60454590;6;2019;1.0
60454590;7;2016;4.0
60454590;7;2017;4.0
60454590;7;2018;3.0
60454590;7;2019;6.0
60454590;8;2016;0.0
60454590;8;2018;1.0
60454590;8;2019;2.0
60454590;9;2016;5.0
60454590;9;2017;2.0
60454590;9;2018;3.0
60454590;9;2019;5.0
60454590;10;2016;1.0
60454590;10;2017;2.0
60454590;10;2018;6.0
60454590;10;2019;5.0
60454590;11;2016;3.0
60454590;11;2017;3.0
60454590;11;2018;2.0
60454590;11;2019;5.0
60454590;12;2016;4.0
60454590;12;2017;3.0
60454590;12;2018;1.0
60454590;12;2019;2.0
61117735;1;2017;1.0
61117735;1;2018;4.0
61117735;1;2019;4.0
61117735;2;2017;1.0
61117735;2;2018;2.0
61117735;2;2019;6.0
61117735;3;2018;3.0
61117735;3;2019;5.0
61117735;4;2017;2.0
61117735;4;2018;4.0
61117735;4;2019;1.0
61117735;5;2017;2.0
61117735;5;2018;3.0
61117735;5;2019;5.0
61117735;6;2017;5.0
