date;sales
2016-07-01;429.0
2016-08-01;331.0
2016-09-01;336.0
2016-10-01;412.0
2016-11-01;595.0
2016-12-01;1459.0
2017-01-01;504.0
2017-02-01;319.0
2017-03-01;1005.0
2017-04-01;432.0
2017-05-01;378.0
2017-06-01;266.0
2017-07-01;204.0
2017-08-01;185.0
2017-09-01;208.0
2017-10-01;209.0
2017-11-01;577.0
2017-12-01;1326.0
2018-01-01;505.0
2018-02-01;233.0
2018-03-01;836.0
2018-04-01;403.0
2018-05-01;273.0
2018-06-01;238.0
2018-07-01;228.0
2018-08-01;235.0
2018-09-01;205.0
2018-10-01;226.0
2018-11-01;493.0
2018-12-01;1001.0
2019-01-01;384.0
2019-02-01;295.0
2019-03-01;280.0
2019-04-01;216.0
2019-05-01;239.0
2019-06-01;256.0
2019-07-01;233.0
2019-08-01;236.0
2019-09-01;221.0
2019-10-01;220.0
2019-11-01;186.0
2019-12-01;155.0
