NUM_ART;week_of_year;year_of_calendar;QTE_VTE
36633331;26;2019;1.0
36633331;29;2019;2.0
36633331;30;2019;0.0
36633331;31;2019;0.0
36633331;36;2019;0.0
36633331;38;2019;1.0
36633331;45;2019;1.0
36633331;46;2019;1.0
36633331;47;2019;1.0
36633331;48;2019;-1.0
36633331;51;2019;1.0
60191215;1;2018;1.0
60191215;1;2020;1.0
60191215;6;2018;2.0
60191215;7;2018;1.0
60191215;9;2018;1.0
60191215;10;2017;1.0
60191215;11;2017;1.0
60191215;13;2017;1.0
60191215;13;2018;1.0
60191215;14;2018;1.0
60191215;15;2018;1.0
60191215;16;2017;1.0
60191215;16;2018;1.0
60191215;17;2017;1.0
60191215;17;2018;-1.0
60191215;17;2019;3.0
60191215;18;2018;1.0
60191215;18;2019;-1.0
60191215;19;2017;1.0
60191215;20;2017;1.0
60191215;20;2019;1.0
60191215;21;2019;-1.0
60191215;23;2018;1.0
60191215;24;2018;1.0
60191215;25;2017;1.0
60191215;25;2018;1.0
60191215;26;2019;1.0
60191215;27;2018;2.0
60191215;28;2018;-1.0
60191215;29;2019;1.0
60191215;30;2017;1.0
60191215;30;2018;1.0
60191215;30;2019;1.0
60191215;31;2016;1.0
60191215;32;2017;0.0
60191215;33;2016;1.0
60191215;35;2018;1.0
60191215;35;2019;2.0
60191215;36;2016;1.0
60191215;38;2019;2.0
60191215;39;2018;1.0
60191215;41;2017;1.0
60191215;41;2018;1.0
60191215;42;2017;2.0
60191215;43;2016;1.0
60191215;43;2018;1.0
60191215;44;2016;-1.0
60191215;45;2016;1.0
60191215;45;2017;1.0
60191215;49;2016;0.0
60191215;50;2018;1.0
60191215;51;2017;1.0
60191215;51;2018;1.0
60191215;51;2019;0.0
60191215;52;2017;-1.0
60191530;0;2019;2.0
60191530;1;2019;1.0
60191530;1;2020;1.0
60191530;3;2017;1.0
60191530;5;2017;1.0
60191530;6;2017;0.0
60191530;6;2018;1.0
60191530;6;2019;1.0
60191530;7;2018;1.0
60191530;9;2017;1.0
60191530;9;2018;1.0
60191530;13;2018;1.0
60191530;16;2017;1.0
60191530;17;2019;1.0
60191530;18;2019;-1.0
60191530;21;2017;0.0
60191530;21;2019;1.0
60191530;23;2018;1.0
60191530;24;2017;1.0
60191530;27;2018;2.0
60191530;28;2017;0.0
60191530;28;2018;-1.0
60191530;29;2017;1.0
60191530;29;2018;1.0
60191530;31;2017;0.0
60191530;33;2017;0.0
60191530;33;2019;0.0
60191530;34;2016;0.0
60191530;34;2019;1.0
60191530;35;2019;1.0
60191530;36;2019;1.0
60191530;37;2018;1.0
60191530;38;2017;1.0
60191530;38;2019;-1.0
60191530;39;2016;1.0
60191530;39;2017;1.0
60191530;40;2019;1.0
60191530;41;2017;1.0
60191530;41;2019;-1.0
60191530;42;2016;-1.0
60191530;47;2017;1.0
60191530;48;2016;1.0
60191530;49;2019;1.0
60191530;50;2016;-1.0
60191530;50;2019;-1.0
60191530;51;2017;1.0
60191530;51;2019;2.0
60388524;1;2018;1.0
60388524;1;2019;1.0
60388524;2;2019;2.0
60388524;3;2017;0.0
60388524;3;2018;2.0
60388524;4;2017;2.0
60388524;4;2018;1.0
60388524;4;2019;1.0
60388524;5;2017;1.0
60388524;5;2018;-1.0
60388524;6;2018;1.0
60388524;7;2017;0.0
60388524;7;2019;0.0
60388524;8;2019;1.0
60388524;9;2017;1.0
60388524;9;2019;1.0
60388524;10;2017;3.0
60388524;10;2018;1.0
60388524;10;2019;1.0
60388524;11;2017;4.0
60388524;12;2017;0.0
60388524;12;2018;1.0
60388524;12;2019;1.0
60388524;13;2017;1.0
60388524;13;2018;-1.0
60388524;13;2019;0.0
60388524;14;2017;1.0
60388524;14;2018;3.0
60388524;14;2019;1.0
60388524;15;2017;1.0
60388524;15;2018;1.0
60388524;15;2019;1.0
60388524;16;2017;0.0
60388524;16;2018;1.0
60388524;17;2018;5.0
60388524;17;2019;1.0
60388524;18;2018;-1.0
60388524;18;2019;0.0
60388524;19;2019;1.0
60388524;20;2018;0.0
60388524;21;2017;1.0
60388524;22;2019;1.0
60388524;23;2019;0.0
60388524;24;2018;2.0
60388524;24;2019;-1.0
60388524;25;2017;0.0
60388524;25;2018;-1.0
60388524;25;2019;1.0
60388524;26;2017;1.0
60388524;26;2018;1.0
60388524;26;2019;3.0
60388524;27;2017;2.0
60388524;27;2018;1.0
60388524;28;2017;2.0
60388524;28;2018;1.0
60388524;28;2019;-1.0
60388524;29;2018;1.0
60388524;30;2017;1.0
60388524;30;2018;1.0
60388524;30;2019;1.0
60388524;31;2016;1.0
60388524;31;2017;-1.0
60388524;32;2016;1.0
60388524;32;2018;-1.0
60388524;32;2019;1.0
60388524;33;2017;1.0
60388524;33;2018;1.0
60388524;34;2016;1.0
60388524;34;2018;0.0
60388524;34;2019;2.0
60388524;35;2016;0.0
60388524;35;2019;1.0
60388524;36;2016;2.0
60388524;36;2017;0.0
60388524;36;2019;6.0
60388524;37;2016;1.0
60388524;37;2018;1.0
60388524;38;2016;1.0
60388524;38;2018;1.0
60388524;38;2019;0.0
60388524;39;2017;1.0
60388524;39;2018;-1.0
60388524;40;2017;2.0
60388524;41;2016;1.0
60388524;42;2018;1.0
60388524;42;2019;1.0
60388524;43;2017;1.0
60388524;44;2016;1.0
60388524;44;2017;1.0
60388524;44;2018;1.0
60388524;44;2019;0.0
60388524;45;2019;1.0
60388524;46;2016;1.0
60388524;48;2016;1.0
60388524;48;2018;1.0
60388524;49;2019;0.0
60388524;51;2019;1.0
60388524;52;2016;1.0
60388524;52;2017;-1.0
60388524;52;2019;1.0
60388552;1;2018;1.0
60388552;1;2019;1.0
60388552;2;2018;0.0
60388552;3;2018;0.0
60388552;4;2018;1.0
60388552;6;2017;2.0
60388552;6;2018;1.0
60388552;6;2019;1.0
60388552;7;2018;1.0
60388552;7;2019;1.0
60388552;8;2017;1.0
60388552;9;2017;-1.0
60388552;9;2018;1.0
60388552;9;2019;0.0
60388552;10;2019;1.0
60388552;11;2018;0.0
60388552;12;2017;1.0
60388552;14;2018;-1.0
60388552;15;2017;1.0
60388552;15;2018;1.0
60388552;15;2019;1.0
60388552;16;2018;1.0
60388552;16;2019;-1.0
60388552;17;2018;-1.0
60388552;18;2017;1.0
60388552;18;2018;1.0
60388552;18;2019;1.0
60388552;19;2017;1.0
60388552;20;2018;1.0
60388552;20;2019;0.0
60388552;21;2017;1.0
60388552;21;2018;1.0
60388552;22;2019;2.0
60388552;23;2017;2.0
60388552;23;2018;2.0
60388552;24;2019;1.0
60388552;26;2017;1.0
60388552;27;2017;-1.0
60388552;27;2019;1.0
60388552;28;2019;4.0
60388552;29;2016;1.0
60388552;29;2019;1.0
60388552;30;2016;0.0
60388552;31;2016;2.0
60388552;32;2016;1.0
60388552;33;2018;1.0
60388552;34;2016;1.0
60388552;34;2017;0.0
60388552;35;2016;0.0
60388552;35;2019;-1.0
60388552;36;2016;2.0
60388552;37;2018;2.0
60388552;40;2017;4.0
60388552;41;2016;1.0
60388552;41;2017;-1.0
60388552;41;2019;1.0
60388552;42;2016;3.0
60388552;42;2018;1.0
60388552;43;2016;0.0
60388552;44;2016;-1.0
60388552;44;2018;0.0
60388552;45;2017;1.0
60388552;45;2018;0.0
60388552;45;2019;1.0
60388552;46;2016;1.0
60388552;46;2018;1.0
60388552;47;2018;-1.0
60388552;49;2019;1.0
60388552;50;2017;1.0
60388552;50;2019;0.0
60388552;52;2016;1.0
60388552;52;2019;1.0
60388573;0;2020;0.0
60388573;3;2017;0.0
60388573;3;2019;1.0
60388573;4;2017;4.0
60388573;4;2018;1.0
60388573;4;2019;1.0
60388573;5;2017;-1.0
60388573;5;2018;2.0
60388573;6;2018;2.0
60388573;7;2017;0.0
60388573;7;2019;1.0
60388573;9;2017;1.0
60388573;9;2018;0.0
60388573;9;2019;2.0
60388573;10;2018;1.0
60388573;10;2019;0.0
60388573;12;2017;2.0
60388573;12;2019;2.0
60388573;13;2018;1.0
60388573;13;2019;-1.0
60388573;14;2017;1.0
60388573;14;2018;2.0
60388573;14;2019;2.0
60388573;15;2019;2.0
60388573;16;2018;1.0
60388573;16;2019;-2.0
60388573;17;2018;3.0
60388573;17;2019;-1.0
60388573;18;2018;-1.0
60388573;18;2019;0.0
60388573;19;2017;0.0
60388573;19;2018;1.0
60388573;20;2017;1.0
60388573;20;2018;2.0
60388573;21;2018;-1.0
60388573;22;2019;2.0
60388573;23;2017;1.0
60388573;23;2019;0.0
60388573;25;2017;0.0
60388573;25;2019;1.0
60388573;26;2019;2.0
60388573;28;2018;1.0
60388573;28;2019;2.0
60388573;29;2017;1.0
60388573;29;2019;-1.0
60388573;30;2016;2.0
60388573;30;2017;1.0
60388573;30;2018;1.0
60388573;30;2019;1.0
60388573;31;2017;-1.0
60388573;31;2019;2.0
60388573;33;2018;1.0
60388573;34;2016;1.0
60388573;34;2017;1.0
60388573;34;2019;1.0
60388573;35;2016;3.0
60388573;36;2018;2.0
60388573;36;2019;2.0
60388573;37;2016;1.0
60388573;38;2016;1.0
60388573;38;2018;0.0
60388573;38;2019;1.0
60388573;40;2017;2.0
60388573;41;2017;1.0
60388573;41;2019;1.0
60388573;42;2017;1.0
60388573;42;2019;1.0
60388573;44;2016;1.0
60388573;44;2019;0.0
60388573;45;2016;1.0
60388573;45;2017;0.0
60388573;45;2018;1.0
60388573;46;2018;-1.0
60388573;47;2018;1.0
60388573;48;2016;2.0
60388573;49;2016;0.0
60388573;49;2018;1.0
60388573;49;2019;0.0
60388573;50;2017;0.0
60388573;50;2019;1.0
60388573;51;2017;1.0
60388573;52;2016;-1.0
60388573;52;2019;2.0
60388580;2;2018;1.0
60388580;3;2019;1.0
60388580;6;2019;1.0
60388580;8;2017;2.0
60388580;9;2017;-1.0
60388580;9;2019;0.0
60388580;13;2018;3.0
60388580;14;2019;1.0
60388580;15;2019;-1.0
60388580;16;2018;1.0
60388580;17;2018;1.0
60388580;18;2018;1.0
60388580;20;2017;1.0
60388580;21;2017;1.0
60388580;21;2018;0.0
60388580;22;2019;1.0
60388580;23;2018;2.0
60388580;24;2017;1.0
60388580;25;2017;0.0
60388580;28;2019;2.0
60388580;29;2017;1.0
60388580;30;2018;1.0
60388580;31;2018;-1.0
60388580;33;2018;1.0
60388580;34;2017;0.0
60388580;36;2016;1.0
60388580;40;2018;1.0
60388580;41;2016;1.0
60388580;41;2019;1.0
60388580;42;2016;2.0
60388580;43;2019;1.0
60388580;44;2018;0.0
60388580;46;2016;2.0
60388580;46;2019;1.0
60388580;47;2017;1.0
60388580;47;2018;1.0
60388580;48;2016;2.0
60388580;48;2017;1.0
60388580;50;2019;2.0
60388580;51;2017;1.0
60417196;1;2018;2.0
60417196;2;2018;4.0
60417196;3;2018;1.0
60417196;4;2017;2.0
60417196;4;2018;1.0
60417196;5;2017;1.0
60417196;7;2018;2.0
60417196;14;2018;2.0
60417196;17;2018;1.0
60417196;20;2017;0.0
60417196;21;2017;1.0
60417196;22;2017;1.0
60417196;23;2018;2.0
60417196;24;2017;-1.0
60417196;25;2018;1.0
60417196;26;2017;4.0
60417196;30;2016;1.0
60417196;30;2017;1.0
60417196;32;2017;2.0
60417196;33;2017;1.0
60417196;34;2016;1.0
60417196;34;2017;1.0
60417196;35;2017;0.0
60417196;36;2016;2.0
60417196;37;2017;1.0
60417196;38;2017;2.0
60417196;40;2016;1.0
60417196;42;2016;1.0
60417196;43;2017;2.0
60417196;45;2016;0.0
60417196;45;2017;2.0
60417196;46;2017;1.0
60417196;47;2016;2.0
60417196;48;2017;1.0
60417196;49;2016;1.0
60417196;50;2016;-1.0
60454576;1;2017;2.0
60454576;2;2018;2.0
60454576;2;2019;1.0
60454576;3;2017;1.0
60454576;4;2017;1.0
60454576;7;2017;2.0
60454576;8;2018;1.0
60454576;8;2019;1.0
60454576;9;2017;1.0
60454576;9;2018;2.0
60454576;9;2019;1.0
60454576;10;2017;1.0
60454576;10;2019;1.0
60454576;11;2018;2.0
60454576;11;2019;1.0
60454576;13;2017;1.0
60454576;13;2019;1.0
60454576;15;2017;2.0
60454576;15;2018;1.0
60454576;16;2017;2.0
60454576;18;2017;1.0
60454576;19;2017;0.0
60454576;20;2017;1.0
60454576;20;2019;0.0
60454576;21;2018;2.0
60454576;21;2019;2.0
60454576;22;2017;3.0
60454576;23;2017;1.0
60454576;26;2018;1.0
60454576;26;2019;2.0
60454576;27;2017;1.0
60454576;28;2017;1.0
60454576;28;2019;1.0
60454576;29;2016;0.0
60454576;29;2019;4.0
60454576;30;2017;2.0
60454576;30;2019;1.0
60454576;31;2017;1.0
60454576;32;2017;1.0
60454576;32;2019;1.0
60454576;33;2019;1.0
60454576;34;2019;1.0
60454576;36;2016;2.0
60454576;36;2019;4.0
60454576;37;2016;1.0
60454576;37;2018;3.0
60454576;38;2017;1.0
